Citra,kontras,korelasi,homogeneity,energy
img_1.jpg,64.49820490171382,0.9784864419685406,0.21491366423576538,0.020117308345553128
img_2.jpg,114.76866985181218,0.9894004315822036,0.3338377587313629,0.16386756433195782
img_3.jpg,162.45344767787518,0.9879134126943399,0.6860371682953916,0.3024917400561228
img_4.jpg,34.41044836253448,0.9880497619664136,0.6992673514290955,0.48260014533125173
img_5.jpg,151.4318048602709,0.9928006676048282,0.7015008386934355,0.2744811593130086
img_6.jpg,44.936680135978385,0.9944087971385074,0.35251088689623394,0.07305802950335646
img_7.jpg,230.213135093409,0.9880478104992082,0.6722318700782214,0.403685058360465
img_8.jpg,278.54513754564863,0.9879992764076266,0.6638685125199681,0.4075035531217845
img_9.jpg,156.73941518667277,0.9913411424384367,0.7849617434566573,0.5329817908688484
img_10.jpg,157.86400061103362,0.9887616071521313,0.562119668333064,0.19326439669098255
img_11.jpg,29.33261178548707,0.9952224590050023,0.4857101516481998,0.11064265198901913
img_12.jpg,169.78335405161198,0.9890577402776044,0.5079908685603188,0.26394521468315224
img_13.jpg,153.68678802182637,0.9930333366788472,0.8164460183027612,0.588221442312874
img_14.jpg,317.5132332052543,0.9384695906447937,0.5189581649293684,0.33176010354818297
img_15.jpg,281.42210611156236,0.9650792049575194,0.5313462480832185,0.08885129066296857
img_16.jpg,64.4982049017138,0.9784864419685406,0.21491366423576536,0.02011730834555313
img_17.jpg,181.2102738561913,0.987564537109447,0.581219224812735,0.19571510199807138
img_18.jpg,178.65360860495954,0.991363414100993,0.7146163711677816,0.3691309619072407
img_19.jpg,169.21137669729555,0.984642523662484,0.3550077796548982,0.14768065813888814
img_20.jpg,347.52297957926424,0.9288400870303285,0.412997574818043,0.11559488089689021
img_21.jpg,164.32309855247473,0.9819204609629075,0.5616257432666885,0.13827491358408334
img_22.jpg,329.3030807919969,0.9391185302829737,0.48689336440988945,0.28990992195478843
img_23.jpg,414.5859909524329,0.9721055230562703,0.8432569070282139,0.6908157640104301
img_24.jpg,25.90295977425545,0.9968031439768104,0.6738678738323338,0.274374716041725
img_25.jpg,78.05625158124539,0.996077278658646,0.5524703262404967,0.4245258995676575
img_26.jpg,139.66326177427027,0.9892343362874086,0.5606381543223421,0.10540863886495877
img_27.jpg,140.54208058323502,0.9925448577359632,0.6454339638505706,0.24487053891373323
img_28.jpg,139.28970249942483,0.9928421791241955,0.6514270237901582,0.35142137169144344
img_29.jpg,176.91307049810675,0.9830351668667957,0.3700632217200486,0.0964025942836779
img_30.jpg,278.0586798201466,0.9612589895412147,0.583216758629749,0.14093749200712627
img_31.jpg,192.72683212246423,0.9897304920929663,0.6543738904179144,0.37313170369166665
img_32.jpg,181.87068485887858,0.9880254871905487,0.5364145061729296,0.14985079387555073
img_33.jpg,193.50594362998677,0.9792648848638185,0.5123695871707058,0.12963670547370737
img_34.jpg,29.65052035373284,0.9965096731092965,0.5408574849278444,0.3210408156546218
img_35.jpg,43.714576850150976,0.9946079506268106,0.845699754544309,0.7859773918662875
img_36.jpg,494.9202524801776,0.9625431734586805,0.4816282916775302,0.3396183091802839
img_37.jpg,232.8732936255547,0.9808353534231503,0.4873844351027794,0.19800440420563062
img_38.jpg,295.7657126166283,0.9620776293824403,0.547882993085997,0.35818381460581716
img_39.jpg,24.060531656707674,0.996317101149428,0.5581205339238697,0.3677337470860246
img_40.jpg,182.18696802114928,0.9886134670388391,0.6340877531011548,0.25153258337761886
img_41.jpg,330.91848614643584,0.9818799718709733,0.6015037707519574,0.3314774351601897
img_42.jpg,433.155569997819,0.9793355405807637,0.5624839300447104,0.37627034399206327
img_43.jpg,248.70213037082823,0.9756555251140784,0.20647217535899143,0.09727487139455092
img_44.jpg,259.11021541516584,0.9883114902313042,0.6306501827379816,0.34502674064745553
img_45.jpg,140.24337488783286,0.9902342103741311,0.5403417774319477,0.2714686637017455
img_46.jpg,114.93791872702859,0.9940066135871214,0.7164913021175097,0.29004564515229414
img_47.jpg,126.93821583346019,0.9849446507302302,0.36726979646899893,0.1543124139974239
img_48.jpg,258.62701652360977,0.9810784340248555,0.4816904804825811,0.2711780275779338
img_49.jpg,54.265115120623605,0.9951413799868731,0.5794343946168523,0.39758905500502995
img_50.jpg,311.9701125347695,0.9795284042426757,0.5895416858493646,0.2282294552523154
